Symbol,Name,LastSale,NetChange,NetChangeDirection,PercentChange,1YrPercentChange
"DWFI","SPDR Dorsey Wright Fixed Income Allocation ETF","23.4176","-0.0424","down","0.18","0.13"
"DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF","22.07","0.16","up","0.73","-14.25"
"DWPP","First Trust Dorsey Wright People's Portfolio ETF","31.57","0.083","up","0.26","3.85"
"DWSH","AdvisorShares Dorsey Wright Short ETF","25.26","0.46","up","1.85","-0.84"
"DXD","ProShares UltraShort Dow30","25.11","-0.14","down","0.55","-15.44"
"DYNF","BlackRock U.S. Equity Factor Rotation ETF","26.9892","0.1684","up","0.63","6.43"
"ECLN","First Trust EIP Carbon Impact ETF","20.4085","0","unch","0","1.75"
"EDOW","First Trust Dow 30 Equal Weight ETF","24.9404","0.0981","up","0.39","6.44"
"EEH","AB Svensk Ekportkredit (Swedish Export Credit Corporation)","21.305","-0.3491","down","1.61","-8.82"
"EES","WisdomTree U.S. SmallCap Fund","36.3041","-0.0859","down","0.24","-9.68"
"EMLP","First Trust North American Energy Infrastructure Fund","25.51","0.02","up","0.08","5.68"
"EMTY","ProShares Decline of the Retail Store ETF","35.92","-0.0032","down","0.01","20.79"
"ENTR","ERShares Entrepreneur 30 ETF","17.31","0.1529","up","0.89","-6.6"
"EPS","WisdomTree U.S. LargeCap Fund","34.06","0.07","up","0.21","4.33"
"EQL","ALPS Equal Sector Weight ETF","76.46","0.3648","up","0.48","3.94"
"EQRR","ProShares Equities for Rising Rates ETF","40.48","-0.19","down","0.47","-19.19"
"ERM","EquityCompass Risk Manager ETF","20.71","0.0299","up","0.14","-10.88"
"ERX","Direxion Energy Bull 3X Shares","16.49","-0.32","down","1.9","-49.94"
"ERY","Direxion Daily Energy Bear 3X Shares","46.67","0.92","up","2.01","26.42"
"ESG","FlexShares STOXX US ESG Impact Index Fund","71.94","0.3103","up","0.43","4.48"
"ESGL","Invesco Exchange-Traded Self-Indexed Fund Trust Invesco ESG Re","32.4","-0.1015","down","0.31","0.84"
"ESGS","Columbia Sustainable U.S. Equity Income ETF","28.749","0.0829","up","0.29","-6.14"
"ESGU","iShares ESG MSCI USA ETF","66.2753","0.3753","up","0.57","3.6"
"ESGV","Vanguard World Funds","52.67","0.12","up","0.23","4.08"
"ESML","iShares Trust","27.33","0.01","up","0.04","-4.38"
"SPHB","Invesco S&P 500 High Beta ETF","42.79","-0.0379","down","0.09","-3.63"
"SPHD","Invesco S&P 500 High Dividend Low Volatility ETF","42.8347","-0.1853","down","0.43","2.97"
"SPHQ","Invesco S&P 500 Quality ETF","33.97","0.165","up","0.49","4.72"
"SPLG","SPDR Series Trust SPDR Portfolio Large Cap ETF","35.365","0.115","up","0.33","3.83"
"SPMD","SPDR Portfolio Mid Cap ETF","34.5279","-0.1021","down","0.29","-5.59"
"SPMV","Invesco Exchange-Traded Fund Trust II","30.6571","0","unch","0","4.99"
"SPTM","SPDR Portfolio Total Stock Market ETF","37.3219","0.0919","up","0.25","3.04"
"SPVM","Invesco S&P 500 Value with Momentum ETF","40.67","-0.0868","down","0.21","3.39"
"SPXE","ProShares S&P 500 Ex-Energy ETF","63.8093","0","unch","0","5.12"
"SPXL","Direxion Daily S&P 500 Bull 3X Shares","54.1799","0.5599","up","1.04","1.07"
"SPXS","Direxion Daily S&P 500 Bear 3X","16.64","-0.18","down","1.07","-23.55"
"SPXU","ProShares UltraPro Short S&P500","25.21","-0.27","down","1.06","-23.41"
"SPY","SPDR S&P 500","301.381","1.131","up","0.38","3.87"
"SPYG","SPDR Series Trust SPDR Portfolio S&P 500 Growth ETF","39.55","0.26","up","0.66","3.97"
"SPYV","SPDR Series Trust SPDR Portfolio S&P 500 Value ETF","32.41","0","unch","0","3.71"
"SQLV","Legg Mason Small-Cap Quality Value ETF","26.759","0.509","up","1.94","-13.51"
"SQQQ","ProShares UltraPro Short QQQ","30.427","-0.673","down","2.16","-33.89"
"SRS","ProShares UltraShort Real Estate","19.57","-0.17","down","0.86","-26.54"
"SSG","ProShares UltraShort Semiconductors","19.6426","-0.2109","down","1.06","-38.5"
"SSO","ProShares Ultra S&P500","131.5","0.96","up","0.74","4.1"
"SUSA","iShares MSCI USA ESG Select ETF","124.7618","0.3876","up","0.31","5"
"SUSL","iShares ESG MSCI USA Leaders ETF","51.64","0","unch","0","6.82"
"SZK","ProShares UltraShort Consumer Goods","12.2459","-0.1415","down","1.14","-16.36"
"SZNE","Pacer CFRA-Stovall Equal Weight Seasonal Rotation ETF","29.204","0.0358","up","0.12","11.97"
"TAN","Invesco Solar ETF","29.8","-0.02","down","0.07","43.16"
"TBLU","Managed Portfolio Series","30.9124","0","unch","0","7.6"
"TDIV","First Trust NASDAQ Technology Dividend Index Fund","41.009","-0.091","down","0.22","8.44"
"TECL","Direxion Technology Bull 3X Shares","174.4777","3.2877","up","1.92","6.45"
"TECS","Direxion Technology Bear 3X Shares","10.46","-0.24","down","2.24","-44.15"
"TERM","EquityCompass Tactical Risk Manager ETF","18.01","-0.04","down","0.22","-22.5"
"TILT","FlexShares Mornigstar US Market Factors Tilt Index Fund ETF","119.25","0.3726","up","0.31","-0.74"
"TMFC","Motley Fool 100 Index ETF","22.85","0.16","up","0.71","3.32"
"TNA","Direxion Small Cap Bull 3X Shares","61.41","-0.27","down","0.44","-33.78"
"TPHD","Timothy Plan High Dividend Stock ETF","25.478","-0.0274","down","0.11","2.64"
"TPLC","Timothy Plan US Large Cap Core ETF","25.6266","0.0015","up","0.01","2.74"
"TPOR","Direxion Daily Transportation Bull 3X Shares","27.35","-0.136","down","0.49","-32.33"
"TPYP","Tortoise North American Pipeline ETF","23.4768","-0.1282","down","0.54","-1.36"
"TQQQ","ProShares UltraPro QQQ","66.6099","1.4399","up","2.21","-4.34"
"TTAC","TRIMTABS ETF TRUST","37.55","0.1449","up","0.39","-2.87"
"TWM","ProShares UltraShort Russell2000","14.32","0.05","up","0.35","6.81"
"TZA","Direxion Small Cap Bear 3X Shares","43.11","0.2","up","0.47","5.43"
"UCC","ProShares Ultra Consumer Services","115.54","1.2701","up","1.11","5.47"
"UGE","ProShares Ultra Consumer Goods","47.96","0.4416","up","0.93","11.91"
"UJAN","Innovator ETFs Trust","27.4024","0","unch","0","8.61"
"UJUL","Innovator ETFs Trust","26.1297","-0.0003","down","0","2.47"
"UJUN","Innovator ETFs Trust","26.4799","0.0591","up","0.22","4"
"ULVM","VictoryShares USAA MSCI USA Value Momentum ETF","51.5799","0.0099","up","0.02","-3.15"
"UPRO","ProShares UltraPro S&P 500","57.247","0.567","up","1","1.38"
"UPW","ProShares Ultra Utilities","66.9","0.57","up","0.86","32.77"
"URE","ProShares Ultra Real Estate","84.72","0.5999","up","0.71","23.34"
"USAI","American Energy Independence ETF","23.7251","0","unch","0","-9.62"
"USD","ProShares Ultra Semiconductors","49.3184","0.5691","up","1.17","12.12"
"USDY","Pacific Global US Equity Income ETF","27.098","0","unch","0","6.94"
"USEQ","Invesco Exchange-Traded Fund Trust II","28.71","-0.0488","down","0.17","-0.35"
"USMC","Principal U.S. Mega-Cap Multi-Factor Index ETF","29.5832","0.1086","up","0.37","5.49"
"USMF","WisdomTree Trust","30.69","0","unch","0","-0.68"
"USMV","iShares Trust","64.2","0.36","up","0.56","12.16"
"USRT","iShares Core U.S. REIT ETF","54.8902","0.0502","up","0.09","8.36"
"USVM","VictoryShares USAA MSCI USA Small Cap Value Momentum ETF","51.12","0.0854","up","0.17","-9.43"
"UTRN","Vesper US Large Cap Short-Term Reversal Strategy ETF","26.4596","0.2111","up","0.8","4.62"
"UTSL","Direxion Daily Utilities Bull 3X Shares","44.07","0.9051","up","2.1","51.24"
"UWM","ProShares Ultra Russell2000","68.94","-0.21","down","0.3","-20.27"
"UXI","ProShares Ultra Industrials","80","0.181","up","0.23","1.68"
"UYG","ProShares Ultra Financials","47.06","0.26","up","0.56","4.12"
"UYM","ProShares Ultra Basic Materials","56.59","0.1003","up","0.18","-18.15"
"VALQ","American Century STOXX U.S. Quality Value ETF","40.94","-0.1202","down","0.29","-0.82"
"VAMO","Cambria ETF Trust","20.1","-0.0627","down","0.31","-21.33"
"VAW","Vanguard Materials ETF","127.58","0.52","up","0.41","-4.8"
"VBK","Vanguard Small-Cap Growth ETF","187.79","0.24","up","0.13","-0.77"
"VBR","Vanguard Small-Cap Value ETF","131.29","-0.38","down","0.29","-6.86"
"VCR","Vanguard Consumer Discretion ETF","185.46","0.95","up","0.51","1.95"
"VDC","Vanguard Consumer Staples ETF","157.37","0.79","up","0.5","10.67"
"VDE","Vanguard Energy ETF","80.11","-0.65","down","0.8","-20.5"
"VETS","Pacer Military Times Best Employers ETF","30","0.31","up","1.04","6.89"
"VFH","Vanguard Financials ETF","70.45","-0.04","down","0.06","-1.33"
"VFLQ","Vanguard Wellington Fund","84.52","0","unch","0","0.32"
"VFMF","Vanguard Wellington Fund","76.65","-0.28","down","0.36","-7.8"
"VFMO","Vanguard Wellington Fund","82.57","0.5","up","0.61","-5.32"
"VFMV","Vanguard Wellington Fund","90.199","0.349","up","0.39","5.4"
"VFQY","Vanguard Wellington Fund","81.44","0","unch","0","-5.57"
"VFVA","Vanguard Wellington Fund","73.865","-0.595","down","0.8","-7.66"
"VGT","Vanguard Information Tech ETF","219.6638","1.5938","up","0.73","8.9"
"VHT","Vanguard Health Care ETF","171.76","0.38","up","0.22","-2.47"
"VIG","Vanguard Div Appreciation ETF","120.7668","0.6968","up","0.58","8.95"
"VIOG","Vanguard S&P Small-Cap 600 Growth ETF","158.57","-0.535","down","0.34","-10.24"
"VIOO","Vanguard S&P Small-Cap 600 ETF","146.15","-0.45","down","0.31","-9.73"
"VIOV","Vanguard S&P Small-Cap 600 Value ETF","132.49","-0.4222","down","0.32","-9.43"
"VIS","Vanguard Industrials ETF","148.194","-0.366","down","0.25","0.66"
"VLU","SPDR S&P 1500 Value Tilt ETF","106.5192","0","unch","0","-1.09"
"ETHO","Etho Climate Leadership U.S. ETF","40.02","0.0789","up","0.2","5.89"
"EUSA","iShares MSCI USA Equal Weighted ETF","60.82","0.3291","up","0.54","2.29"
"EVSTC","Eaton Vance NextShares Trust","99.98","0","unch","0","0"
"EVX","VanEck Vectors Environmental Services ETF","104.4629","0.5669","up","0.55","5.92"
"EWC","iShares MSCI Canada Index Fund","28.86","0.04","up","0.14","1.8"
"EWCO","Invesco S&P 500 Equal Weight Communication Services ETF","25.9863","0","unch","0","3"
"EWW","iShares Inc iShares MSCI Mexico ETF","42.78","0.09","up","0.21","-13.71"
"EXT","WisdomTree U.S. Total Market Fund","34.3429","-0.055","down","0.16","2.63"
"EZM","WisdomTree U.S. MidCap Fund","40.14","-0.16","down","0.4","-4.14"
"FAB","First Trust Multi Cap Value AlphaDEX Fund","54.32","-0.32","down","0.59","-5.94"
"FAD","First Trust Multi Cap Growth AlphaDEX Fund","74.715","0.335","up","0.45","-3.49"
"FALN","iShares Fallen Angels USD Bond ETF","26.8775","0.0475","up","0.18","1.55"
"FAS","Direxion Financial Bull 3X Shares","78.19","1.08","up","1.4","3.95"
"FAZ","Direxion Financial Bear 3X Shares","34.7","-0.42","down","1.2","-24.31"
"FCAN","First Trust Canada AlphaDEX Fund","23.46","0","unch","0","-4.83"
"FCG","First Trust Natural Gas ETF","11.99","-0.23","down","1.88","-44.12"
"FCOM","Fidelity MSCI Communication Services Index ETF","34.4419","0.1719","up","0.5","10.58"
"FCTR","First Trust Exchange-Traded Fund","21.9","0.1919","up","0.88","4.92"
"FDIS","Fidelity MSCI Consumer Discretionary Index ETF","47.2","0.27","up","0.58","3.76"
"FDL","First Trust Morningstar ETF","31.45","-0.12","down","0.38","6.4"
"FDLO","Fidelity Low Volatility Factor ETF","36.964","0.194","up","0.53","9.43"
"FDM","First Trust DJ Select MicroCap ETF","46.9379","-0.5043","down","1.06","-9.18"
"FDMO","Fidelity Momentum Factor ETF","35.53","0.39","up","1.11","0.14"
"FDN","First Trust DJ Internet Index Fund","140.21","1.06","up","0.76","-2.75"
"FDRR","Fidelity Dividend ETF for Rising Rates","32.71","-0.04","down","0.12","1.46"
"FDVV","Fidelity High Dividend ETF","30.5347","0.0247","up","0.08","-1.29"
"FENY","Fidelity MSCI Energy Index ETF","16.16","-0.15","down","0.92","-20.59"
"FEX","First Trust Large Cap Core AlphaDEX Fund","61.79","0.03","up","0.05","-1.12"
"FFHG","Northern Lights Fund Trust IV","26.38","-0.0484","down","0.18","-11.7"
"FHLC","Fidelity MSCI Health Care Index ETF","44.4299","0.0999","up","0.23","-2.72"
"FIDU","Fidelity MSCI Industrials Index ETF","40.4346","-0.0554","down","0.14","0.85"
"FINU","ProShares UltraPro Financial Select Sector","86.74","-0.1016","down","0.12","-13.71"
"FINZ","ProShares UltraPro Short Financial Select Sector","5.8","-0.0134","down","0.23","-15.13"
"FLAG","Exchange Traded Concepts Trust FLAG-Forensic Accounting Long-S","38.37","-0.307","down","0.79","-8.63"
"FLCA","Franklin FTSE Canada ETF","25.5","0","unch","0","3.41"
"FLLV","Franklin Liberty U.S. Low Volatility ETF","36.7667","0.2541","up","0.7","10.98"
"FLMX","Franklin FTSE Mexico ETF","21.7965","0","unch","0","-12.08"
"FLQL","Franklin Templeton ETF Trust","33.2","0.11","up","0.33","5.58"
"FLQM","Franklin Templeton ETF Trust","31.6","0.0388","up","0.12","8.61"
"FLQS","Franklin Templeton ETF Trust","28.27","0.1198","up","0.43","-7.79"
"FMAT","Fidelity MSCI Materials Index ETF","32.5684","0.0884","up","0.27","-4.95"
"FMK","First Trust Mega Cap AlphaDEX Fund","36.7127","0.083","up","0.23","0.52"
"FNCL","Fidelity MSCI Financials Index ETF","40.96","0.02","up","0.05","-1.42"
"FNG","AdvisorShares New Tech and Media ETF","10.81","0.0481","up","0.45","-52.57"
"FNK","First Trust Mid Cap Value AlphaDEX Fund","34.43","-0.098","down","0.28","-7.48"
"FNX","First Trust Mid Cap Core AlphaDEX Fund","69.0471","-0.1429","down","0.21","-4.66"
"FNY","First Trust Mid Cap Growth AlphaDEX Fund","45.9172","0.1872","up","0.41","-2.41"
"FOVL","iShares Focused Value Factor ETF","49.71","-0.0096","down","0.02","1.41"
"FPX","First Trust US Equity Opportunities ETF","78.13","0.6","up","0.77","3.06"
"FQAL","Fidelity Quality Factor ETF","35.4","0.1317","up","0.37","2.08"
"FRAK","VanEck Vectors Unconventional Oil & Gas ETF","10.8913","0","unch","0","-31.84"
"FREL","Fidelity MSCI Real Estate Index ETF","27.67","0.09","up","0.33","10.01"
"FRI","First Trust S&P REIT Index Fund","26.33","0.02","up","0.08","9.4"
"FRLG","Goldman Sachs Group, Inc. (The)","124.2057","1.7496","up","1.43","-3.88"
"FSMD","Fidelity Small-Mid Factor ETF","25.358","0.0253","up","0.1","1.69"
"FSTA","Fidelity MSCI COnsumer Staples Index ETF","36.7157","0.1821","up","0.5","11.25"
"FTA","First Trust Large Cap Value AlphaDEX Fund","52.75","-0.2183","down","0.41","-2.97"
"FTC","First Trust Large Cap Growth AlphaDEX Fund","70.58","0.57","up","0.81","0.09"
"FTEC","Fidelity MSCI Information Technology Index ETF","64.9159","0.4359","up","0.68","8.22"
"FTHI","First Trust BuyWrite Income ETF","22.6027","0.0127","up","0.06","-3.63"
"FTLB","First Trust Hedged BuyWrite Income ETF","22.41","1.12","up","5.26","-7.78"
"FTLS","First Trust Long/Short Equity","40.9682","0.1208","up","0.3","0.49"
"FTVA","ETF Series Solutions","26.57","0.0124","up","0.05","-8.52"
"FTXD","First Trust Nasdaq Retail ETF","23.727","0.047","up","0.2","-5.01"
"FTXG","First Trust Nasdaq Food & Beverage ETF","21.2656","0","unch","0","6.86"
"FTXH","First Trust Nasdaq Pharmaceuticals ETF","20.61","0","unch","0","-11.43"
"FTXL","First Trust Nasdaq Semiconductor ETF","35.7355","0.2466","up","0.69","14.7"
"FTXN","First Trust Nasdaq Oil & Gas ETF","16.38","0","unch","0","-33.12"
"FTXO","First Trust Nasdaq Bank ETF","25.7607","-0.0893","down","0.35","-12.82"
"FTXR","First Trust Nasdaq Transportation ETF","23.97","0.2335","up","0.98","-8"
"FUTY","Fidelity MSCI Utilities Index ETF","41.7","0.23","up","0.55","16.06"
"FVAL","Fidelity Value Factor ETF","34.8218","-0.1182","down","0.34","0.69"
"FVD","First Trust VL Dividend","34.998","0.038","up","0.11","9.42"
"FVL","First Trust Value Line 100 Fund","22.37","0.1766","up","0.8","-5.24"
"FXD","First Trust Cons. Discret. AlphaDEX","43.47","-0.13","down","0.3","-0.18"
"FXG","First Trust Cons. Staples AlphaDEX","48.6483","0.0433","up","0.09","0.42"
"FXH","First Trust Health Care AlphaDEX","75.64","0.08","up","0.11","-8.5"
"FXL","First Trust Technology AlphaDEX","67.0648","0.4248","up","0.64","4.83"
"FXN","First Trust Energy AlphaDEX Fund","10.01","-0.27","down","2.63","-38.33"
"FXO","First Trust Financials AlphaDEX","32.1","-0.03","down","0.09","-1.74"
"FXR","First Trust Industrials AlphaDEX","42.38","-0.25","down","0.59","-0.49"
"FXU","First Trust Utilities AlphaDEX Fund","29.81","0.04","up","0.13","6.7"
"FXZ","First Trust Materials AlphaDEX Fund","37.8153","-0.2647","down","0.7","-8.92"
"VNQ","Vanguard Real Estate ETF","92.51","0.37","up","0.4","10.72"
"VOE","Vanguard Mid-Cap Value ETF","113.98","0.04","up","0.04","-0.15"
"VONE","Vanguard Russell 1000 ETF","137.9282","0.2582","up","0.19","3.5"
"VONG","Vanguard Russell 1000 Growth ETF","167.2258","1.0658","up","0.64","4.82"
"VONV","Vanguard Russell 1000 Value ETF","113.91","0.09","up","0.08","2.53"
"VOO","Vanguard S&P 500 ETF","276.8601","1.0201","up","0.37","3.82"
"VOOG","Vanguard S&P 500 Growth ETF","164.41","1.1","up","0.67","4.03"
"VOOV","Vanguard S&P 500 Value ETF","116.4463","0.035","up","0.03","3.97"
"VOT","Vanguard Mid-Cap Growth ETF","150.079","0.659","up","0.44","4.66"
"VOX","Vanguard Communication Services  ETF","90.34","0.45","up","0.5","5.1"
"VPU","Vanguard Utilities ETF","141.1372","0.7172","up","0.51","16.11"
"VQT","Barclays PLC","163.4729","0","unch","0","-4.52"
"VRAI","Virtus Real Asset Income ETF","24.77","-0.1039","down","0.42","0.58"
"VSDA","VictoryShares Dividend Accelerator ETF","34.39","0.085","up","0.25","13.07"
"VSL","Volshares Large Cap ETF","28.9539","0","unch","0","14.94"
"VSMV","VictoryShares US Multi-Factor Minimum Volatility ETF","31.98","0.2","up","0.63","5.86"
"VTHR","Vanguard Russell 3000 ETF","136.99","0.18","up","0.13","2.66"
"VTI","Vanguard Total Stock Market ETF","153.61","0.45","up","0.29","2.52"
"VTV","Vanguard Value ETF","112.88","-0.01","down","0.01","1.93"
"VTWG","Vanguard Russell 2000 Growth ETF","145.79","-0.55","down","0.38","-7.65"
"VTWO","Vanguard Russell 2000 ETF","126.125","-0.215","down","0.17","-8.04"
"VTWV","Vanguard Russell 2000 Value ETF","106.63","-0.48","down","0.45","-8.79"
"VUG","Vanguard Growth ETF","169.49","1.25","up","0.74","5.55"
"VUSE","ETF Series Solutions Trust Vident Core US Equity ETF","31.45","-0.02","down","0.06","-9.15"
"VXF","Vanguard Extended Market ETF","119.45","0.06","up","0.05","-3.74"
"VYM","Vanguard High Dividend Yield ETF","89.65","0.08","up","0.09","2.42"
"WDRW","Direxion Daily Regional Banks Bear 3X Shares","25.33","0.3343","up","1.34","11.09"
"WOMN","Impact Shares Trust I ETF Impact Shares YWCA Womenas Empowerme","21.31","0.1044","up","0.49","5.24"
"XAR","SPDR S&P Aerospace & Defense ETF","109.4127","0.4527","up","0.42","11.62"
"XBI","SPDR Series Trust  SPDR S&P Biotech ETF","82.59","-0.79","down","0.95","-13.63"
"XES","SPDR Series Trust SPDR S&P Oil & Gas Equipment & Services ETF","8.04","-0.24","down","2.9","-47.36"
"XHB","SPDR Series Trust SPDR Homebuilders ETF","43.68","0.02","up","0.05","7.94"
"XHE","SPDR S&P Health Care Equipment","80.02","0.08","up","0.1","-9.1"
"XHS","SPDR S&P Health Care Services ETF","65.73","-0.6467","down","0.97","-11.26"
"XLB","Materials Select Sector SPDR","58.44","0.39","up","0.67","-1.89"
"XLE","SPDR Select Sector Fund - Energy Select Sector","60.58","-0.4","down","0.66","-16.99"
"XLEY","Cushing Energy & MLP ETF","23.5251","0","unch","0","-4.1"
"XLF","SPDR Select Sector Fund - Financial","28.13","0.01","up","0.04","-0.74"
"XLG","Invesco S&P 500 Top 50 ETF","216","0.96","up","0.45","3.59"
"XLI","SPDR Select Sector Fund - Industrial","78.83","-0.04","down","0.05","1.15"
"XLK","SPDR Select Sector Fund - Technology","81.87","0.55","up","0.68","9.24"
"XLP","SPDR Select Sector Fund - Consumer Staples","61.46","0.32","up","0.52","12.47"
"XLRE","Real Estate Select Sector SPDR Fund (The)","39.02","0.19","up","0.49","15.46"
"XLSY","Cushing Energy Supply Chain & MLP ETF","24.4412","0","unch","0","-0.69"
"XLTY","Cushing Transportation & MLP ETF","25.2698","0","unch","0","1.4"
"XLU","SPDR Select Sector Fund - Utilities","63.51","0.31","up","0.49","16.54"
"XLUY","Cushing Utility & MLP ETF","26.9742","0","unch","0","8.11"
"XLV","SPDR Select Sector Fund - Health Care","91.87","0.28","up","0.31","-0.69"
"XLY","SPDR Select Sector Fund - Consumer Discretionary","123.84","0.76","up","0.62","5.25"
"XME","SPDR S&P Metals & Mining ETF","27.86","0.05","up","0.18","-16.11"
"XMMO","Invesco S&P MidCap Momentum ETF","58.9099","0.2299","up","0.39","5.92"
"XMVM","Invesco S&P MidCap Value with Momentum ETF","32.82","-0.298","down","0.9","4.08"
"XNTK","SPDR NYSE Technology ETF","75.18","0.3698","up","0.49","-19.2"
"XOP","SPDR S&P Oil & Gas Explor & Product","23.22","-0.52","down","2.19","-41.8"
"XPH","SPDR S&P Pharmaceuticals ETF","37.3","-0.3","down","0.8","-22.86"
"XRLV","Invesco S&P 500 ex-Rate Sensitive Low Volatility ETF","39.5299","0.1399","up","0.36","8.66"
"XRT","SPDR S&P Retail ETF","43.515","-0.365","down","0.83","-15.97"
"XSD","SPDR S&P Semiconductor ETF","94.26","0.39","up","0.42","22.24"
"XSHD","Invesco Exchange-Traded Fund Trust II","24.0416","-0.1335","down","0.55","-9.35"
"XSHQ","Invesco Exchange-Traded Fund Trust II","27.9892","0","unch","0","-10.32"
"XSVM","Invesco S&P SmallCap Value with Momentum ETF","30.9156","-0.2532","down","0.81","-5.38"
"XSW","SPDR S&P Software & Services ETF","96.6533","0.3833","up","0.4","5.29"
"XTH","SPDR S&P Technology Hardware ETF","77.68","-0.7229","down","0.92","-1.24"
"XTL","SPDR S&P Telecom ETF","70.2276","-0.2481","down","0.35","-6.86"
"XTN","SPDR S&P Transportation ETF","63.0369","-0.3964","down","0.62","-7.96"
"XWEB","SPDR S&P Internet ETF","83.6299","0.1299","up","0.16","-15.62"
"YGRN","Bank Of Montreal","50.6806","0","unch","0","2.41"
"YLDE","ClearBridge Dividend Strategy ESG ETF","31.3433","0.0933","up","0.3","7.72"
"YMLI","VanEck Vectors High Income Infrastructure MLP ETF","10.8","0","unch","0","-21.28"
"YMLP","VanEck Vectors High Income MLP ETF","18.59","-0.1776","down","0.95","-13.39"
"ZIG","The Acquirers Fund","24.78","-0.1332","down","0.53","-0.69"
"FYC","First Trust Small Cap Growth AlphaDEX Fund","45.76","0.09","up","0.2","-13.49"
"FYT","First Trust Small Cap Value AlphaDEX Fund","35.22","-0.444","down","1.24","-9.16"
"FYX","First Trust Small Cap Core AlphaDEX Fund","61.85","-0.28","down","0.45","-10.84"
"GARD","Reality Shares ETF Trust","24.84","-0.05","down","0.2","-4.38"
"GASL","Direxion Daily Natural Gas Related Bull 3X Shares","10.95","-0.65","down","5.6","-87.95"
"GENY","Principal Millennials Index ETF","39.06","0.0921","up","0.24","1.4"
"GSEW","GOLDMAN SACHS ETF TRUST","47.8581","-0.0619","down","0.13","3.77"
"GSLC","Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF","60.7161","0.1661","up","0.27","3.38"
"GSSC","GS ActiveBeta U.S. Small Cap Equity ETF","45.2699","0.2323","up","0.52","-8.07"
"GURU","Global X Guru Index ETF","34.2","0.1709","up","0.5","5.84"
"GUSH","Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 3X Shares","3.87","-0.28","down","6.75","-87.53"
"GVIP","Goldman Sachs Hedge Industry VIP ETF","57.73","0.4329","up","0.76","-0.39"
"HDGE","Ranger Equity Bear Bear ETF","6.35","0.04","up","0.63","-14.96"
"HECO","Strategy Shs EcoLogical Strategy ETF","41.21","0.2762","up","0.67","-6.74"
"HEWW","iShares Currency Hedged MSCI Mexico ETF","16.0423","0","unch","0","-16.58"
"HIPS","GraniteShares HIPS US High Income ETF","16.6958","0","unch","0","-6.88"
"HLAL","Wahed FTSE USA Shariah ETF","25.2","0.08","up","0.32","0.6"
"HOML","ETRACS 2X Wells Fargo - BDCI","54.55","1.5269","up","2.88","28.09"
"HOMZ","Hoya Capital Housing ETF","28.34","0.1332","up","0.47","13.37"
"HONR","InsightShares Patriotic Employers ETF","26.5324","0","unch","0","8.25"
"HUSE","Strategy Shares US Market Rotation Strategy ETF","34.19","0.0786","up","0.23","-15.73"
"HUSV","First Trust Exchange-Traded Fund III First Trust Horizon Manag","27.4694","0.1594","up","0.58","12.99"
"HYDD","Direxion Daily High Yield Bear 2X Shares","15.8799","-0.0125","down","0.08","-13.18"
"HYXE","iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF","51.93","0.01","up","0.02","2.77"
"IAI","iShares U.S. Broker-Dealers & Securities Exchanges ETF","65.4946","0.0246","up","0.04","1.43"
"IAK","iShares U.S. Insurance ETF","71.11","-0.29","down","0.41","8.94"
"IAT","iShares U.S. Regional Banks ETF","46.78","-0.2","down","0.43","-9.91"
"ICF","iShares Trust","118.29","0.56","up","0.48","14.33"
"IDU","iShares U.S. Utilities ETF","159.95","0.92","up","0.58","15.66"
"IECS","iShares U.S. ETF Trust","28.19","0.16","up","0.57","10.18"
"IEDI","iShares U.S. ETF Trust","30.53","0.2378","up","0.79","5.73"
"IEFN","iShares U.S. ETF Trust","24.5968","0","unch","0","-1.34"
"IEHS","iShares U.S. ETF Trust","29.4221","0.1974","up","0.68","1.69"
"IEIH","iShares U.S. ETF Trust","24.83","-0.0348","down","0.14","-7.01"
"IEME","iShares U.S. ETF Trust","28.1144","-0.0217","down","0.08","4.58"
"IEO","iShares Trust","51.77","-0.64","down","1.22","-27.61"
"IETC","iShares U.S. ETF Trust","29.99","0.3472","up","1.17","6.21"
"IEZ","iShares U.S. Oil Equipment & Services ETF","18.9567","-0.4833","down","2.49","-42.87"
"IFRA","iShares Trust","27.64","-0.12","down","0.43","0.43"
"IGM","iShares Expanded Tech Sector ETF","222.92","1.71","up","0.77","6.89"
"IGN","iShares North American Tech-Multimedia Networking ETF","54.09","-0.21","down","0.39","-1.13"
"IGV","iShares Trust","216.1609","0.8109","up","0.38","6.44"
"IHE","iShares U.S. Pharmaceutical ETF","144.3987","-0.4321","down","0.3","-13.14"
"IHF","iShares U.S. Health Care Providers ETF","170.3203","-0.2797","down","0.16","-12.42"
"IHI","iShares U.S. Medical Devices ETF","250.58","2.16","up","0.87","13.22"
"MDY","SPDR MidCap Trust Series I","357.93","-0.55","down","0.15","-3.35"
"MDYG","SPDR S&P 400 Mid Cap Growth ETF (based on S&P MidCap 400 Growt","54.5953","0.0153","up","0.03","-3.86"
"MDYV","SPDR S&P 400 Mid Cap Value ETF (based on S&P MidCap 400 Value","52","-0.31","down","0.59","-3.18"
"MEXX","Direxion Daily MSCI Mexico Bull 3X Shares","9.965","0.0374","up","0.38","-46.45"
