Symbol
MVIS
ARTLW
IIIN
OBNK
AY
CODX
COUP
URBN
MNCL
GNOM
MITK
HVBC
NTUS
HTGM
CDK
LNGR
NTIC
BOKF
ICAD
PRQR
ZM
NWBI
ATNX
FNJN
TUES
CLDB
WHLRD
SYNC
LEVL
DTSS
MOFG
CSF
PPH
NVUS
RGEN
PRSC
CART
CBLK
RDI
FNLC
RILYZ
HIIQ
NEBUW
POOL
IDXX
NCSM
MITO
KTOV
RNEM
VIRC
ICCC
ALLO
ACOR
CTAS
ONTXW
PTVCA
CSGP
SOHU
VYGR
PKW
IDLB
CLRB
SOHON
PDSB
AMKR
ZFGN
TECH
AERI
FHB
AUDC
ARTL
PRPH
PIO
CRMT
WIX
ACAM
SFM
AEY
ATSG
VTIP
ATRA
SBCF
NTWK
WLDN
UROV
BOOM
JFKKU
AMTX
SLCT
RCKT
MDCO
FRME
GLRE
MPVD
PUI
GLAD
ACER
MTP
CCD
NVLN
FTRI
PLAY
BWEN
MIRM
FTFT
CPAH
HLIT
PFIN
VALX
SREV
UHAL
JBSS
GLIBP
EVK
FBIO
BNDW
AVEO
LARK
NEOS
TWMC
CREX
HCAT
TBLTU
GRNQ
MJCO
OVBC
RCKY
UBCP
GWRS
FTNT
CVGI
TBLTW
CUE
TMCXU
BSVN
RNSC
TANNL
ACIU
EVOK
SAEX
MIND
BROG
NCTY
EFBI
BFIN
ESTA
CIZN
BUSE
ENPH
UFPT
PLW
PEY
AUB
PSDO
NFE
CZNC
ULTA
KXIN
EGAN
ENTXW
KFFB
CRWD
MSBI
HURN
CATM
NEXT
AGRX
INSUW
CXSE
TSCBP
CBIO
ORSNU
ISTB
CHEF
CLIR
ARLP
IMTE
TECTP
MFIN
MRCC
CHEKW
STND
HYACU
GSHD
BEAT
INTU
ADI
RFEM
FIZZ
TCBI
PGC
GIFI
CELG
CSX
BKCC
FGM
ARDX
HA
ORBC
ABIL
MRTN
AGZD
MPB
CREG
PAVMW
CLWT
MBRX
OIIM
EXPE
ADP
TEAM
IUSG
BIDU
PRTK
PFBC
KNSL
HHHHW
SMMF
THCAU
PTH
MNTX
WBA
OFSSZ
NICK
OSW
IPGP
SYKE
OMER
HNRG
TITN
TENB
MGI
DGLY
FLL
IDYA
NETE
GERN
TPCO
TLGT
QIWI
SPI
EVSI
IDXG
FMAO
KBWY
MGTX
UIHC
BCYC
NSSC
CPTAL
PDLI
OCC
CSB
PEIX
