Symbol
FMX
MUJ
WBS
TLRD
PCK
EMN
VSI
PROS
AEL
HPS
ECT
EL
TGT
AGD
MMC
BKI
TREC
JLS
OAS
PBR
VSTO
HBB
NRGX
ETH
SKM
PAGS
JMIA
TWTR
BHK
AVP
PSA
IDE
AYI
VKQ
RLJ
GSK
IBN
AER
HEXO
STI
KIM
WPG
NSC
GEF
CHH
FGP
YRD
MLM
HPE
MPX
XRF
TX
AFC
LOMA
KEYS
SF
B
WOW
HIX
NMZ
TPRE
ES
TCRZ
ECCB
PIR
APTV
EZT
JMPD
DEA
MFG
FIV
EVH
PVT
DCF
ASR
NMM
WIT
UGI
EEA
KT
SAIL
DLR
SQ
HTH
EME
BKU
SMG
KW
XHR
SUN
TLI
TRV
IRS
AWP
NIO
CRR
AHH
AVD
DMO
UE
ENO
PFGC
ENJ
JBK
JHD
UZA
TLRA
PVTL
IDA
UNVR
RNR
JEC
ALK
RENN
DFS
RVLV
SRG
EB
BURL
GCV
CHK
GCP
LIN
PTY
AIV
SOI
MXF
LM
JEF
AOD
NSP
CNHI
GOL
SPAQ
AMOV
NSCO
JP
WY
CCL
HGV
BSTZ
SNP
CRM
AVLR
DDD
WIA
FLR
VNCE
BOX
PAR
KMB
SJIU
MPC
SUZ
AFGE
IHTA
ESI
PBI
NKG
LPG
OPY
NCV
LKSD
PACD
WORK
KIO
LUV
BSM
SCA
JPM
UAA
BMY
MGR
DLPH
CISN
CURO
AROC
NTP
INSW
SHI
BFAM
KNL
TALO
MAXR
SDRL
PRH
VTR
DF
MGP
PEO
SWCH
RRC
AIW
NWN
IRR
JCAP
VPV
GJO
TROX
CARS
RCA
EFL
ECCY
ETN
LHX
VNTR
DTJ
GOLD
WBT
TUP
CMA
CCR
NYCB
HMI
INVH
PTR
ORI
LII
DHX
HOS
TPZ
SC
KTP
DHF
AQNB
LMT
OSG
HBM
ALE
CMI
BFS
BCS
NCR
JRS
NEXA
CHS
CNC
LND
ESE
CLPR
UMC
TDJ
ARI
SIX
ABG
WD
ACC
ZTO
EOG
ETO
CRC
RGR
SRV
RUBI
RHI
DAC
SPGI
BUD
PBF
ELC
FI
DELL
SOJA
MAIN
THG
ROYT
S
MIY
IGA
PACK
LYB
ESS
SSD
ECOM
GRC
CMP
HTZ
HFRO
HLI
GTN
LITB
PUK
VLO
IVZ
FHN
CLGX
HGH
SAH
IHIT
ARLO
FEI
WTM
BBT
GE
PSO
WMC
NKX
GLOP
GGZ
FTK
BITA
NCB
SNDR
SCD
CCH
DTW
TAK
TKC
IIM
PZN
JTD
SCS
ASC
CLW
YUMC
JBT
RYI
FPF
DUK
OCN
HE
CHAP
EBR
TEL
ENV
AIF
CCS
CSS
DMB
WRI
SSW
MEI
EFX
SWN
SBGL
BIO
HTFA
MATX
WPP
BR
NNI
UTX
MYOV
STT
KSU
AJG
USFD
KB
NAV
VNO
CTK
PSX
VEDL
MLR
MUI
JNJ
MYI
SOJC
ORAN
CMSD
PFH
DCI
GPM
FSS
INT
SYK
NPTN
GME
FENG
LVS
HNP
BFY
WAIR
PCF
SQM
CWT
JLL
FFA
USAC
OXY
FCT
BB
AIG
CAI
PCM
VAPO
RLGY
KREF
MCR
AMX
HLX
TOL
ARD
TMO
UTF
NWE
AFG
AOS
GOF
L
STON
CMCM
AMK
FTCH
CTL
BWG
NXJ
FLT
EVN
EPD
RAMP
EQT
EGHT
UHT
ATI
MCX
CX
R
KOS
IMAX
MHN
BQH
MRO
ATEN
BEDU
LDL
ZF
HMLP
AWR
WM
MTH
TEX
DBL
DAR
NNY
RBS
MIN
CTV
LEN
RH
ATUS
TK
EDD
EQM
RAD
PDM
GMZ
CIO
BBDO
GTT
RPT
APH
CM
ASPN
BW
PSTL
EHC
PRA
IPOA
AEP
GRAM
PPDF
ARDC
DAN
GPN
FUL
JILL
MVC
BXMX
NVG
PPX
SHW
INXN
CAT
CHCT
HRC
NBR
HAE
PSV
GLOB
MHNC
BST
TSLF
PFN
JGH
APO
SPH
ASA
CNO
MTT
GPRK
IVC
KEP
WBAI
JMP
CFXA
